UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
4252,H33665,H,302.5,310.9,1356,55.5,101,1,0,1,0,0,0
4254,M19113,M,302.6,311,1329,48.6,111,1,0,1,0,0,0
4255,L51434,L,302.6,311,1284,68.0,114,1,0,1,1,0,0
4259,M19118,M,302.7,311.1,1297,60.7,125,1,0,1,0,0,0
4260,L51439,L,302.7,311.2,1545,35.1,128,0,0,0,0,0,0
4271,L51450,L,302.6,310.9,1331,52.0,154,1,0,1,0,0,0
4280,L51459,L,302.0,310.1,1361,45.4,174,1,0,1,0,0,0
4283,L51462,L,301.9,309.9,1374,48.5,180,1,0,1,0,0,0
4284,M19143,M,301.8,309.9,1334,61.0,182,1,0,1,0,0,0
4286,L51465,L,301.7,309.9,1317,49.0,187,1,0,1,0,0,0
4293,M19152,M,301.8,310.1,2372,13.9,205,1,0,0,1,0,0
4297,L51476,L,301.8,310.2,2825,5.8,215,1,0,0,1,0,0
4308,L51487,L,301.4,309.9,1259,63.9,20,1,0,1,0,0,0
4322,L51501,L,301.7,310.2,1686,28.9,59,0,0,0,0,0,0
4324,L51503,L,301.8,310.3,1341,50.5,64,1,0,1,0,0,0
4327,L51506,L,301.6,310.1,1362,55.8,70,1,0,1,0,0,0
4329,L51508,L,301.6,310.1,1326,48.2,77,1,0,1,0,0,0
4343,M19202,M,301.7,309.8,1284,68.2,111,1,0,1,1,0,0
4354,M19213,M,302.0,309.7,1386,62.7,142,1,0,0,1,0,0
4356,H33769,H,302.0,309.8,1280,57.3,147,1,0,1,0,0,0
4362,M19221,M,302.1,310.1,1379,48.2,166,1,0,1,0,0,0
4371,L51550,L,302.0,309.9,1308,57.6,197,1,0,1,0,1,0
4384,L51563,L,301.7,309.5,1298,65.5,229,1,0,1,0,1,0
4386,L51565,L,301.8,309.7,1442,45.3,233,1,1,0,0,0,0
4390,M19249,M,302.1,310,1355,45.1,6,1,0,1,0,0,0
4392,M19251,M,302.2,310.1,1368,51.6,12,1,0,1,0,0,0
4401,L51580,L,302.3,310.1,1353,50.9,36,1,0,1,0,0,0
4406,L51585,L,302.4,310.2,1331,45.5,53,1,0,1,0,0,0
4407,L51586,L,302.5,310.3,1326,58.5,55,1,0,1,0,0,0
4410,M19269,M,302.4,310.1,1358,54.6,61,1,0,1,0,0,0
4418,L51597,L,302.6,310.4,1365,66.8,80,1,0,1,1,0,0
4420,M19279,M,302.6,310.2,2676,10.8,84,1,0,0,1,0,0
4422,L51601,L,302.6,310.2,1325,62.4,92,1,0,1,0,0,0
4428,M19287,M,302.4,310.1,1379,48.9,107,1,0,1,0,0,0
4436,L51615,L,302.3,310.1,1321,52.7,134,1,0,1,0,0,0
4442,L51621,L,302.5,310.2,1329,50.6,148,1,0,1,0,0,0
4443,L51622,L,302.5,310.2,1563,34.8,150,0,0,0,0,0,0
4449,L51628,L,302.4,310.3,1374,51.2,163,1,0,1,0,0,0
4450,M19309,M,302.4,310.3,1378,54.3,165,1,0,1,0,0,0
4452,L51631,L,302.5,310.3,1549,40.9,170,0,0,0,0,0,0
4463,L51642,L,302.7,310.5,1263,67.8,197,1,0,1,0,1,0
4465,L51644,L,302.8,310.6,1671,30.5,201,0,0,0,0,0,0
4470,L51649,L,302.7,310.5,1446,40.9,211,1,1,0,0,0,0
4476,L51655,L,302.7,310.5,1351,41.8,10,1,0,1,0,0,0
4480,L51659,L,302.6,310.2,1923,21.5,18,0,0,0,0,0,0
4481,H33894,H,302.7,310.4,1305,55.2,20,1,0,1,0,0,0
4492,H33905,H,302.6,310.4,1409,53.3,52,0,0,0,0,0,0
4496,L51675,L,302.6,310.4,1359,57.2,67,1,0,1,0,0,0
4502,L51681,L,302.5,310.2,1307,54.0,86,1,0,1,0,0,0
4504,M19363,M,302.5,310.2,1751,30.5,90,0,0,0,0,0,0
4511,L51690,L,302.4,310.2,1346,62.4,106,1,0,1,0,0,0
4513,M19372,M,302.5,310.3,1411,49.5,110,0,0,0,0,0,0
4519,L51698,L,302.4,310.3,1480,45.8,123,0,0,0,0,0,0
4522,L51701,L,302.4,310.4,1865,23.9,129,0,0,0,0,0,0
4525,M19384,M,302.5,310.5,1527,38.8,136,0,0,0,0,0,0
4528,M19387,M,302.4,310.5,1372,45.7,144,1,0,1,0,0,0
4530,M19389,M,302.4,310.4,1586,34.3,149,0,0,0,0,0,0
4532,L51711,L,302.5,310.5,1520,41.2,154,0,0,0,0,0,0
4534,M19393,M,302.4,310.3,1375,52.5,161,1,0,1,0,0,0
4537,L51716,L,302.4,310.2,1351,45.1,168,1,0,1,0,0,0
4545,L51724,L,302.5,310.4,1349,55.1,187,1,0,1,0,0,0
4555,L51734,L,302.6,310.5,1748,28.2,2,0,0,0,0,0,0
4557,M19416,M,302.7,310.6,1349,51.2,6,1,0,1,0,0,0
4559,L51738,L,302.7,310.7,1369,47.5,11,1,0,1,0,0,0
4560,L51739,L,302.7,310.7,1433,43.7,13,0,0,0,0,0,0
4566,H33979,H,302.7,310.8,1275,55.0,25,1,0,1,0,0,0
4571,L51750,L,302.8,310.9,1312,52.2,40,1,0,1,0,0,0
4574,H33987,H,302.8,311,1436,43.5,47,0,0,0,0,0,0
4580,L51759,L,303.0,311.2,1374,48.2,65,1,0,1,0,0,0
4597,L51776,L,303.0,311.2,1361,47.6,106,1,0,1,0,0,0
4601,L51780,L,303.0,311,1359,44.2,115,1,0,1,0,0,0
4602,M19461,M,303.0,311.1,1372,54.3,117,1,0,1,0,0,0
4612,L51791,L,303.0,311.3,1365,56.2,146,1,0,1,0,0,0
4615,H34028,H,303.0,311.2,1503,37.0,152,0,0,0,0,0,0
4619,M19478,M,303.0,311.3,1335,53.6,164,1,0,1,0,0,0
4621,L51800,L,303.1,311.3,1336,52.6,172,1,0,1,0,0,0
4622,L51801,L,303.0,311.2,1341,51.0,174,1,0,1,0,0,0
4633,M19492,M,302.9,311.2,1330,53.7,200,1,0,1,0,0,0
4643,L51822,L,303.2,311.4,1238,54.6,226,1,0,1,0,1,0
4644,L51823,L,303.2,311.4,1324,54.2,228,1,0,1,0,1,0
4647,L51826,L,303.3,311.4,1497,46.0,234,1,1,0,0,0,0
4652,L51831,L,303.2,311.4,1349,51.1,9,1,0,1,0,0,0
4662,L51841,L,303.3,311.3,1350,48.1,32,1,0,1,0,0,0
4664,L51843,L,303.3,311.3,1389,53.9,39,0,0,0,0,0,0
4666,M19525,M,303.4,311.4,1307,54.0,44,1,0,1,0,0,0
4670,M19529,M,303.3,311.5,1373,47.3,60,1,0,1,0,0,0
4685,M19544,M,303.6,311.8,1421,44.8,101,1,0,0,0,0,0
4703,L51882,L,303.6,311.8,1222,66.8,148,1,0,1,0,0,0
4712,M19571,M,303.4,311.7,1515,44.2,168,0,0,0,0,0,0
4719,L51898,L,303.3,311.6,1337,56.8,187,1,0,1,0,0,0
4721,M19580,M,303.4,311.7,1353,44.1,192,1,0,1,0,0,0
4724,L51903,L,303.4,311.8,1366,50.9,200,1,0,1,0,0,0
4728,M19587,M,303.4,311.8,1341,47.0,210,1,0,1,0,0,0
4730,L51909,L,303.4,311.8,1306,61.0,215,1,0,1,0,1,0
4732,L51911,L,303.3,311.6,1301,45.1,219,1,0,1,0,0,0
4738,M19597,M,303.2,311.5,1336,58.2,2,1,0,1,0,0,0
4740,L51919,L,303.2,311.4,1351,53.8,8,1,0,1,0,0,0
4747,L51926,L,303.2,311.2,1427,45.6,25,0,0,0,0,0,0
4749,L51928,L,303.2,311.2,1363,46.7,29,1,0,1,0,0,0
4756,L51935,L,303.4,311.7,1295,51.3,51,1,0,1,0,0,0
4760,L51939,L,303.5,311.6,1361,46.5,62,1,0,1,0,0,0
4762,H34175,H,303.7,311.9,1332,52.7,66,1,0,1,0,0,0
4763,M19622,M,303.7,312,2663,11.4,71,1,0,0,1,0,0
4769,L51948,L,303.6,312,1309,52.9,86,1,0,1,0,0,0
4771,L51950,L,303.5,311.9,1344,49.3,93,1,0,1,0,0,0
4773,M19632,M,303.6,312,1435,37.9,98,0,0,0,0,0,0
4775,L51954,L,303.6,312,1827,23.3,103,0,0,0,0,0,0
4778,M19637,M,303.5,312.2,1818,23.6,109,0,0,0,0,0,0
4779,H34192,H,303.6,312.2,1371,54.6,112,1,0,1,0,0,0
4784,L51963,L,303.7,312.5,1641,36.0,125,0,0,0,0,0,0
4785,L51964,L,303.9,312.6,1642,32.3,127,0,0,0,0,0,0
4786,H34199,H,303.9,312.7,1401,50.0,129,0,0,0,0,0,0
4795,L51974,L,303.6,312.6,1699,27.9,160,0,0,0,0,0,0
4815,L51994,L,303.4,311.8,1401,53.0,208,1,0,0,0,1,0
4817,L51996,L,303.4,312,1521,35.9,215,1,1,0,0,0,0
4832,L52011,L,303.5,312,1366,54.5,30,1,0,1,0,0,0
4834,L52013,L,303.4,311.9,1377,41.6,34,1,0,1,0,0,0
4837,L52016,L,303.3,311.8,1315,62.0,42,1,0,1,0,0,0
4841,L52020,L,303.4,311.9,1298,63.9,59,1,0,1,0,0,0
4844,L52023,L,303.3,311.8,1842,24.5,67,0,0,0,0,0,0
4845,M19704,M,303.4,311.8,1316,50.9,69,1,0,1,0,0,0
4852,L52031,L,303.7,312.1,1363,51.8,90,1,0,1,0,0,0
4879,L52058,L,303.7,312.4,1348,51.0,152,0,0,0,0,0,0
4899,H34312,H,303.6,312.4,1460,53.7,214,0,0,0,0,0,0
4903,L52082,L,303.6,312.3,1616,29.3,226,0,0,0,0,0,0
4921,L52100,L,303.4,312.2,1337,69.4,52,1,0,0,1,0,0
4931,L52110,L,303.4,312.3,1663,33.9,78,0,0,0,0,0,0
4937,L52116,L,303.5,312.4,1284,70.6,94,1,0,0,1,0,0
4973,H34386,H,303.8,312.6,1811,24.9,183,0,0,0,0,0,0
4977,L52156,L,303.7,312.7,1359,56.8,194,1,0,0,0,1,0
4985,L52164,L,303.8,313.1,1256,58.7,213,1,0,0,0,1,0
4989,L52168,L,303.8,313.1,2497,13.0,5,1,0,0,1,0,0
4998,M19857,M,303.6,312.8,2659,11.4,26,1,0,0,1,0,0
5039,L52218,L,304.1,313.3,1732,28.5,132,0,0,0,0,0,0
5044,L52223,L,304.1,313.2,1468,39.4,148,0,0,0,0,0,0
5049,H34462,H,304.0,313.2,1271,68.6,161,1,0,0,1,0,0
5062,L52241,L,304.0,312.9,1363,62.5,200,1,0,0,0,1,0
5082,M19941,M,304.1,313.3,1494,39.0,49,0,0,0,0,0,0
5099,L52278,L,304.2,313.4,1475,40.2,98,0,0,0,0,0,0
5127,L52306,L,304.3,313.5,1802,25.4,170,0,0,0,0,0,0
5142,L52321,L,304.4,313.7,1509,35.0,205,1,1,0,0,0,0
5144,M20003,M,304.3,313.5,1525,42.0,2,0,0,0,0,0,0
5154,L52333,L,304.2,313.4,1644,31.7,23,0,0,0,0,0,0
5159,L52338,L,304.1,313.3,1459,50.3,39,0,0,0,0,0,0
5169,H34582,H,304.1,313.4,1696,29.6,65,0,0,0,0,0,0
5195,M20054,M,303.9,313.1,1668,34.4,137,0,0,0,0,0,0
5217,M20076,M,303.7,312.7,1316,51.8,197,0,0,0,0,0,0
5220,L52399,L,303.8,313,1365,59.9,205,1,0,0,0,1,0
5240,L52419,L,303.7,313,1753,29.0,42,0,0,0,0,0,0
5278,L52457,L,303.5,312.9,1501,44.0,128,0,0,0,0,0,0
5290,M20149,M,303.9,313.3,1507,34.3,161,0,0,0,0,0,0
5307,H34720,H,304.0,313.2,1612,31.7,206,0,0,0,0,0,0
5310,M20169,M,303.9,313.2,1422,48.0,215,1,1,0,0,0,0
5326,L52505,L,303.5,312.7,1694,27.3,40,0,0,0,0,0,0
5335,M20194,M,303.4,312.6,2706,9.8,65,1,0,0,1,0,0
5349,L52528,L,303.3,312.6,1623,34.6,102,0,0,0,0,0,0
5380,L52559,L,302.9,312.4,1446,41.7,196,0,0,0,0,0,0
5381,L52560,L,302.8,312.3,1494,37.5,198,0,0,0,0,0,0
5385,M20244,M,302.9,312.4,1421,46.0,206,0,0,0,0,0,0
5389,M20248,M,302.8,312.3,1432,49.0,218,0,0,0,0,0,0
5395,M20254,M,302.8,312.3,1262,70.5,234,1,0,0,1,1,0
5398,M20257,M,302.8,312.3,1416,42.7,241,0,0,0,0,0,0
5400,H34813,H,302.8,312.4,1411,53.8,246,1,0,0,0,1,0
5401,L52580,L,302.7,312.4,1477,46.3,251,1,0,0,0,1,0
5402,M20261,M,302.6,312.3,1454,54.8,253,1,1,0,0,1,0
5414,H34827,H,302.7,312.5,1527,36.4,26,0,0,0,0,0,0
5426,L52605,L,302.5,312.2,1775,27.9,56,0,0,0,0,0,0
5429,L52608,L,302.7,312.4,1453,47.3,62,0,0,0,0,0,0
5489,L52668,L,302.7,312.2,1450,52.1,213,1,0,0,0,1,0
5491,L52670,L,302.6,312.1,1288,68.5,0,1,0,0,1,0,0
5527,L52706,L,302.5,311.9,1520,44.9,94,0,0,0,0,0,0
5537,M20396,M,302.3,311.8,1363,54.0,119,1,0,0,0,0,0
5559,L52738,L,302.5,311.9,1553,40.1,187,0,0,0,0,0,0
5562,M20421,M,302.3,311.7,1341,46.3,194,0,0,0,0,0,0
5593,L52772,L,302.5,311.9,1437,46.7,65,0,0,0,0,0,0
5616,M20475,M,303.0,312.2,1257,71.3,122,1,0,0,1,0,0
5618,L52797,L,303.1,312.4,1404,61.5,127,1,0,0,1,0,0
5629,L52808,L,302.7,312.1,1688,32.0,155,0,0,0,0,0,0
5660,M20519,M,302.3,311.5,1674,30.0,12,0,0,0,0,0,0
5664,M20523,M,302.3,311.5,1530,42.3,21,0,0,0,0,0,0
5676,M20535,M,302.3,311.7,1453,42.5,56,0,0,0,0,0,0
5693,M20552,M,302.4,311.9,1313,55.7,102,0,0,0,0,0,0
5707,L52886,L,302.4,311.9,1290,70.0,139,1,0,0,1,0,0
5716,H35129,H,302.2,311.9,1597,35.8,160,0,0,0,0,0,0
5735,L52914,L,302.3,311.8,1369,56.2,208,1,0,0,0,1,0
5744,M20603,M,302.2,311.6,1379,42.9,13,0,0,0,0,0,0
5767,M20626,M,301.7,311.2,1413,42.6,79,0,0,0,0,0,0
5792,M20651,M,301.8,311.3,1542,40.1,142,0,0,0,0,0,0
5812,L52991,L,301.3,311.1,1454,40.3,191,0,0,0,0,0,0
5826,L53005,L,301.3,311.1,1413,42.0,221,0,0,0,0,0,0
5827,M20686,M,301.3,311.1,1492,41.2,223,0,0,0,0,0,0
5870,L53049,L,301.5,311.1,2076,18.7,103,0,0,0,0,0,0
5888,H35301,H,301.4,311.1,1445,41.4,144,0,0,0,0,0,0
5910,H35323,H,300.7,310.2,1364,65.3,208,1,1,0,1,1,0
5917,L53096,L,300.6,310.2,1555,41.9,19,0,0,0,0,0,0
5942,L53121,L,300.6,310.7,1438,48.5,78,1,0,0,0,0,0
5973,L53152,L,300.5,310.8,1445,46.6,155,0,0,0,0,0,0
5983,L53162,L,300.7,310.8,1486,37.1,186,0,0,0,0,0,0
6000,M20859,M,300.4,310.2,1671,30.5,234,1,1,0,0,0,0
6009,L53188,L,300.7,310.7,1431,39.3,22,0,0,0,0,0,0
6025,L53204,L,300.7,310.9,1356,65.3,66,1,0,0,1,0,0
6051,M20910,M,300.9,311.1,1546,37.7,133,0,0,0,0,0,0
6061,L53240,L,301.0,311.1,1615,35.6,158,0,0,0,0,0,0
6077,L53256,L,301.0,310.9,1492,36.7,199,0,0,0,0,0,0
6079,L53258,L,300.8,310.7,1339,59.1,203,1,0,0,0,1,0
6120,L53299,L,300.9,311.1,1471,39.3,91,0,0,0,0,0,0
6139,M20998,M,300.8,310.7,1452,43.0,139,0,0,0,0,0,0
6154,L53333,L,301.0,311.1,1236,64.4,177,1,0,0,0,1,0
6160,L53339,L,301.0,311,1399,58.0,190,1,0,0,0,1,0
6173,L53352,L,300.8,310.6,1577,37.9,227,1,1,0,0,0,0
6179,L53358,L,301.1,310.9,1282,67.9,10,1,0,0,1,0,0
6187,M21046,M,301.1,311,1413,46.6,30,0,0,0,0,0,0
6192,H35605,H,301.0,310.9,1916,22.0,42,0,0,0,0,0,0
6209,M21068,M,300.7,310.6,1418,46.3,84,0,0,0,0,0,0
6229,L53408,L,301.2,310.9,1413,50.1,141,0,0,0,0,0,0
6236,L53415,L,301.3,310.9,1596,33.9,157,0,0,0,0,0,0
6239,L53418,L,301.3,310.8,1390,57.4,164,0,0,0,0,0,0
6249,L53428,L,300.8,310.1,1405,61.2,189,1,0,0,1,1,0
6256,L53435,L,301.0,310.5,1379,57.3,204,1,0,0,0,1,0
6257,L53436,L,301.0,310.6,1493,37.8,206,1,1,0,0,0,0
6314,L53493,L,300.9,310.3,1440,47.6,140,0,0,0,0,0,0
6319,M21178,M,300.9,310.3,1416,50.9,152,0,0,0,0,0,0
6330,M21189,M,300.7,310,1641,34.6,178,0,0,0,0,0,0
6341,H35754,H,300.5,309.9,1397,45.9,210,1,1,0,0,0,0
6384,H35797,H,300.2,309.7,1483,43.8,108,0,0,0,0,0,0
6392,M21251,M,300.2,309.7,1413,43.0,137,0,0,0,0,0,0
6420,H35833,H,300.3,309.9,1394,46.7,210,1,1,0,0,0,0
6468,L53647,L,300.4,309.7,1692,27.4,115,0,0,0,0,0,0
6476,L53655,L,300.5,309.7,1560,30.2,139,0,0,0,0,0,0
6478,L53657,L,300.5,309.7,1841,24.6,143,0,0,0,0,0,0
6479,L53658,L,300.5,309.8,1663,29.1,145,1,0,0,0,0,0
6484,L53663,L,300.7,309.9,1412,45.3,155,0,0,0,0,0,0
6492,L53671,L,300.8,310,1468,52.7,178,0,0,0,0,0,0
6495,L53674,L,300.6,309.7,1617,33.2,185,0,0,0,0,0,0
6498,L53677,L,300.8,309.9,1312,65.3,192,1,0,0,0,1,0
6521,M21380,M,301.2,310.1,1666,34.9,37,0,0,0,0,0,0
6526,L53705,L,301.1,310.4,1312,73.6,49,1,0,0,1,0,0
6537,L53716,L,301.3,310.5,1406,47.1,83,0,0,0,0,0,0
6541,M21400,M,301.4,310.7,1368,63.7,92,1,0,0,1,0,0
6562,L53741,L,301.5,310.7,1596,35.4,150,0,0,0,0,0,0
6575,L53754,L,301.4,310.6,1578,33.0,181,0,0,0,0,0,0
6582,L53761,L,301.4,310.4,1559,36.0,196,0,0,0,0,0,0
6619,M21478,M,301.6,310.6,1309,65.8,75,1,0,0,1,0,0
6668,H36081,H,301.4,310.5,1536,39.9,201,0,0,0,0,0,0
6674,L53853,L,301.6,310.7,1380,51.8,216,1,0,0,0,1,0
6679,M21538,M,301.5,310.7,1336,65.6,0,1,0,0,1,0,0
6756,M21615,M,301.8,311.1,1663,31.6,199,0,0,0,0,0,0
6758,L53937,L,301.8,311.2,1822,26.2,204,0,0,0,0,0,0
6760,L53939,L,301.7,311,1441,44.3,208,1,1,0,0,0,0
6800,M21659,M,301.1,310.7,2636,12.2,100,1,0,0,1,0,0
6804,M21663,M,301.1,310.7,1367,43.4,111,0,0,0,0,0,0
6813,L53992,L,300.9,310.6,1350,53.8,131,0,0,0,0,0,0
6819,M21678,M,301.0,310.7,1657,29.9,148,0,0,0,0,0,0
6823,M21682,M,300.9,310.6,1709,29.2,158,0,0,0,0,0,0
6824,M21683,M,300.9,310.7,1268,56.3,161,0,0,0,0,0,0
6846,M21705,M,301.3,311.5,1648,32.4,0,0,0,0,0,0,0
6848,L54027,L,301.2,311.4,1757,28.0,6,0,0,0,0,0,0
6868,L54047,L,301.0,311.3,1342,50.9,60,0,0,0,0,0,0
6872,L54051,L,301.0,311.3,1349,47.0,71,0,0,0,0,0,0
6891,M21750,M,300.9,311.4,1532,41.5,126,0,0,0,0,0,0
6925,L54104,L,301.2,311.6,1461,52.9,208,1,0,0,0,1,0
6930,M21789,M,301.0,311.6,1301,55.0,9,0,0,0,0,0,0
6933,L54112,L,300.8,311.4,1322,67.2,18,1,0,0,1,0,0
6936,L54115,L,300.7,311.2,1878,24.3,24,0,0,0,0,0,0
6947,L54126,L,300.7,311.2,1486,46.8,56,0,0,0,0,0,0
6969,L54148,L,300.9,311.2,1789,25.5,114,0,0,0,0,0,0
6991,L54170,L,300.7,311.1,2478,13.4,170,1,0,0,1,0,0
7012,L54191,L,300.5,310.5,2633,12.2,17,1,0,0,1,0,0
7015,H36428,H,300.5,310.5,1403,47.7,24,0,0,0,0,0,0
7025,L54204,L,300.6,310.6,2127,18.7,53,0,0,0,0,0,0
7035,H36448,H,300.6,310.6,1830,26.2,78,0,0,0,0,0,0
7070,L54249,L,300.8,310.7,1525,39.4,175,0,0,0,0,0,0
7084,L54263,L,300.7,310.4,1416,61.8,209,1,0,0,1,1,0
7088,L54267,L,300.6,310.3,1648,30.5,217,1,1,0,0,0,0
7150,L54329,L,300.2,309.8,1506,41.8,161,0,0,0,0,0,0
7155,L54334,L,300.3,310.1,1483,39.9,174,0,0,0,0,0,0
7168,L54347,L,300.3,310.3,1362,60.3,206,1,0,0,0,1,0
7171,M22030,M,300.3,310.2,1442,39.5,4,0,0,0,0,0,0
7195,L54374,L,300.1,310.1,1380,52.6,59,0,0,0,0,0,0
7199,M22058,M,300.0,309.9,1530,34.5,71,0,0,0,0,0,0
7207,L54386,L,299.8,309.7,1457,51.9,89,0,0,0,0,0,0
7213,M22072,M,299.8,309.7,1705,28.5,103,0,0,0,0,0,0
7215,M22074,M,299.9,309.8,1625,41.2,109,0,0,0,0,0,0
7222,H36635,H,299.7,309.6,1433,49.6,129,0,0,0,0,0,0
7248,M22107,M,300.0,310.1,1314,53.5,199,0,0,0,0,0,0
7281,L54460,L,299.9,310.2,1288,69.6,62,1,0,0,1,0,0
7291,L54470,L,300.3,310.6,1806,24.4,88,0,0,0,0,0,0
7303,L54482,L,300.1,310.5,1494,44.2,117,0,0,0,0,0,0
7325,M22184,M,299.9,310.4,1820,26.6,175,0,0,0,0,0,0
7327,M22186,M,299.9,310.5,1335,52.9,180,0,0,0,0,0,0
7346,L54525,L,299.6,310.2,1381,60.5,13,0,0,0,0,0,0
7350,L54529,L,299.7,310.2,1633,36.5,24,0,0,0,0,0,0
7403,M22262,M,299.8,310.8,1463,43.5,156,0,0,0,0,0,0
7407,L54586,L,299.8,310.9,1545,40.7,166,0,0,0,0,0,0
7427,M22286,M,300.0,311.4,1692,29.0,216,1,1,0,0,0,0
7429,M22288,M,300.0,311.4,1864,23.3,2,0,0,0,0,0,0
7434,M22293,M,300.1,311.4,1913,21.9,15,0,0,0,0,0,0
7462,L54641,L,300.0,311.5,1749,28.3,83,0,0,0,0,0,0
7464,H36877,H,300.1,311.4,1518,46.9,87,0,0,0,0,0,0
7510,L54689,L,300.6,311.9,1372,60.1,212,1,0,0,0,1,0
7511,L54690,L,300.5,311.8,1524,38.9,214,1,1,0,0,0,0
7525,L54704,L,300.2,311.5,1639,31.1,31,0,0,0,0,0,0
7526,H36939,H,300.1,311.5,1383,49.1,33,0,0,0,0,0,0
7531,M22390,M,300.1,311.4,1617,39.3,47,0,0,0,0,0,0
7537,L54716,L,300.1,311.3,2579,12.5,64,1,0,0,1,0,0
7548,L54727,L,300.1,311.4,1430,40.9,93,0,0,0,0,0,0
7565,M22424,M,300.3,311.2,1381,65.2,136,1,0,0,1,0,0
7570,L54749,L,300.2,311,1255,71.8,149,1,0,0,1,0,0
7592,M22451,M,300.5,311.1,1296,61.3,202,1,0,0,0,1,0
7594,L54773,L,300.5,311.2,1270,67.5,208,1,0,0,0,1,0
7642,M22501,M,300.4,311.4,1352,57.3,116,0,0,0,0,0,0
7651,L54830,L,300.3,311.4,1343,57.7,142,0,0,0,0,0,0
7670,L54849,L,300.7,311.8,1336,58.4,189,1,0,0,0,1,0
7688,M22547,M,300.7,311.7,2097,18.9,232,1,1,0,0,0,0
7691,M22550,M,300.5,311.6,1577,36.5,4,0,0,0,0,0,0
7722,L54901,L,300.5,311.6,1425,42.4,102,0,0,0,0,0,0
7727,M22586,M,300.8,311.9,1761,29.0,113,0,0,0,0,0,0
7748,M22607,M,300.5,311.8,1331,55.3,167,0,0,0,0,0,0
7755,M22614,M,300.4,311.7,1478,39.9,185,0,0,0,0,0,0
7757,L54936,L,300.5,311.8,1368,57.9,191,1,0,0,0,1,0
7760,L54939,L,300.4,311.8,1272,59.2,198,1,0,0,0,1,0
7764,L54943,L,300.4,311.6,1200,76.6,3,1,0,0,1,0,0
7788,L54967,L,300.3,311.5,1378,47.5,64,0,0,0,0,0,0
7805,M22664,M,299.9,311.4,1480,44.9,108,0,0,0,0,0,0
7814,L54993,L,300.0,311.5,1455,41.7,130,0,0,0,0,0,0
7824,L55003,L,300.0,311.3,1484,53.2,158,0,0,0,0,0,0
7838,L55017,L,300.2,311.5,1685,31.0,193,0,0,0,0,0,0
7850,M22709,M,300.3,311.7,1374,47.9,222,1,1,0,0,0,0
7871,M22730,M,300.6,312.1,1293,52.3,49,0,0,0,0,0,0
7877,H37290,H,300.7,312.2,1335,49.0,62,0,0,0,0,0,0
7885,L55064,L,300.8,312.4,1465,59.1,91,1,0,0,1,0,0
7910,L55089,L,300.7,312.2,1590,38.5,148,0,0,0,0,0,0
7917,L55096,L,300.8,312.1,1512,37.1,169,0,0,0,0,0,0
7927,L55106,L,300.7,311.9,1335,57.1,194,1,0,0,0,1,0
7951,L55130,L,300.8,311.6,1568,36.0,23,0,0,0,0,0,0
7968,M22827,M,301.0,312.2,1629,32.6,69,0,0,0,0,0,0
7998,M22857,M,301.0,312.2,2710,9.7,143,1,0,0,1,0,0
8012,L55191,L,300.8,311.8,1427,43.3,180,0,0,0,0,0,0
8027,L55206,L,300.7,311.9,1399,50.2,222,1,0,0,0,1,0
8046,M22905,M,300.7,311.9,1366,55.1,36,0,0,0,0,0,0
8051,L55230,L,300.7,312,1401,51.1,50,0,0,0,0,0,0
8054,L55233,L,300.5,311.9,1887,21.7,56,0,0,0,0,0,0
8086,L55265,L,300.2,311.4,1331,49.8,143,0,0,0,0,0,0
8089,L55268,L,300.1,311.4,1356,45.7,149,0,0,0,0,0,0
8112,M22971,M,300.4,311.8,1553,33.1,209,1,1,0,0,0,0
8114,L55293,L,300.4,311.7,1459,45.6,3,0,0,0,0,0,0
8189,M23048,M,299.6,310.9,1530,38.8,198,0,0,0,0,0,0
8193,L55372,L,299.6,310.9,1229,65.2,209,1,0,0,0,1,0
8196,L55375,L,299.4,310.8,1376,53.9,215,1,0,0,0,1,0
8200,L55379,L,299.2,310.7,1737,27.0,225,1,1,0,0,0,0
8246,M23105,M,299.0,310.3,1303,68.6,111,1,0,0,1,0,0
8260,L55439,L,299.1,310.5,1471,38.4,146,0,0,0,0,0,0
8263,L55442,L,299.1,310.6,1921,23.9,158,0,0,0,0,0,0
8269,M23128,M,299.2,310.8,1502,39.8,177,0,0,0,0,0,0
8280,L55459,L,298.8,310.6,1803,25.4,209,0,0,0,0,0,0
8308,M23167,M,298.7,310.1,1402,69.7,64,1,0,0,1,0,0
8312,M23171,M,298.8,310,1295,52.7,74,0,0,0,0,0,0
8313,M23172,M,298.8,310,1529,38.5,77,0,0,0,0,0,0
8358,L55537,L,298.5,309.5,1385,46.3,203,1,1,0,0,0,0
8394,L55573,L,298.5,309.5,1428,43.5,87,0,0,0,0,0,0
8399,L55578,L,298.5,309.7,2617,12.1,102,1,0,0,1,0,0
8409,M23268,M,298.5,309.6,1572,33.0,127,0,0,0,0,0,0
8438,L55617,L,298.7,309.8,1181,65.9,203,1,0,0,0,1,0
8490,L55669,L,298.4,309.4,1461,46.3,121,0,0,0,0,0,0
8507,L55686,L,298.4,309.6,1710,27.3,163,1,0,0,0,0,0
8513,H37926,H,298.3,309.6,1546,36.2,177,0,0,0,0,0,0
8550,L55729,L,298.3,309.3,1558,37.2,73,0,0,0,0,0,0
